89	thank you daddy Brad for sponsoring our 1
1500	CES 2018 content check out there's six 1
3780	skins in the link down below 1
5100	we're here at high Perkin checking out 0
6629	three awesome up-and-coming projects the 0
8880	first one however is project Ultra GB 0
11370	which is a current name not a final name 0
13950	but we'll use that for now it's an 0
15990	all-aluminum Gameboy that includes a ton 0
18390	of awesome features like type-c charging 0
20520	an RGB switching wheel to change the 0
22710	color of the included backlight an 0
25080	included audio amplifier left and right 0
28109	audio channel output and potentially LS 0
30720	DJ software coming from the start we're 0
32940	not sure on that yet this is all because 0
34829	it's being made with chip tune fanatics 0
36570	in mind 0
37170	my favorite feature however is the og 0
39239	dot matrix display it looks awesome when 0
42090	you actually do things on the Gameboy it 0
43980	looks fantastic I like that they went 0
45989	that extra step and made sure that it 0
47670	was that much of an original product it 0
49800	is gonna come in at hopefully slightly 0
51960	under $100 but it looks great it sounds 0
54480	great it feels great I just I'm I'm a 0
56850	fan next up for the Atari 2600 fans out 0
59969	there we have the retron 77 this is a 0
62460	modern console so you have HDMI 0
64170	1080p ode 16 by 9 aspect ratio or 4 by 3 0
68040	but then it has the nice things that 0
69659	you'd expect from an Atari 2600 like 0
71880	difficulty changing a black and white 0
73920	switch the option to have savestates 0
76439	which I guess wasn't in the original but 0
78119	you have now which is very nice because 0
79530	could be really frustrating to not have 0
80939	those in terms of firmware its 0
82770	officially licensed ella emulation so 0
85290	you'll load the rom from the cartridge 0
87390	onto the drive and stella will make sure 0
89520	that it all works ok and there will be 0
91590	updates from high Perkin themselves but 0
93479	you can also load your own firmware onto 0
96090	the device if you would like as it is 0
97560	open source and last but not least we 0
99450	have the mega retron HD which as you may 0
101759	guess is for Genesis and Mega Drive 0
103740	systems although it's not emulation this 0
105930	is just straight-up standard hardware 0
107700	with 100% compatibility across the board 0
110220	in terms of modern features you have 0
111869	720p output over an HDMI connector 16 by 0
115590	9 and 4 by 3 aspect ratio switches and 0
118020	an NTSC pal switch to make sure that'll 0
120329	work for you also there's a controller 0
122340	in the box just like with the retro and 0
124229	77 now as you guys know I'm a Nintendo 0
126270	and Game Boy fanboy so I'm pretty 0
127890	excited for project ultra GB but if 0
129899	you're more of a Sega or Atari 0
131599	let me know in the comments down below 0
132799	and thank you to D Brandt for sponsoring 1
135019	this video and all of our CES 2018 1
137090	content they have awesome 3m vinyl skins 1
139999	I can go on your phone your laptop many 1
142219	other devices as well they have a bunch 1
143930	of different textured stuff like their 1
145219	dragon skin or their wood and they even 1
147439	have marble finishes as well it looks 1
149540	awesome and it also protects your device 1
151370	from scratches or dents which is cool 1
153319	it's not quite a case but they also have 1
155510	those if you're interested as well again 1
157400	check it out D brand calm /c es 2018 I 1
160400	like the video if you liked it dislike 0
161959	it if you're like why the heck did the 0
163310	light just turn off and stay subscribe 0
165019	to see all the rest of our CES 2018 0
166939	content I'll see you next time 0
