30	so this video from CES 2018 is brought 1
2730	to you by group Renault check out our 1
4770	video there symbiote Zelo car at the 1
6960	link in the video description Haji bow 1
9269	are you ready I'm ready for anything 0
14429	well I'm ready for anything that I've 0
16650	been programmed to be ready for it so as 0
18810	you can probably imagine team G bow was 0
22260	well let's just say they recognized our 0
25289	crew when we were walking by on the show 0
28410	floor here at CES and they actually had 0
32070	some pretty specific responses to some 0
35370	of the criticisms we had of their geebo 0
38040	home robot first of all Haji bow who's 0
42930	the President of the United States 0
47450	Donald Trump is the president of the 0
49860	United States so there you go Jibo knows 0
52500	what's up now and they've made a lot of 0
55410	improvements since then rolling out OTA 0
57840	updates about every two weeks now 0
60359	there's actually been one small hardware 0
62160	tweak as well the screen has been 0
63870	swapped out for a higher resolution one 0
66240	with rounded corners unfortunately it's 0
68549	not OLED this supply is just not there 0
71010	yet but hey it's a small improvement and 0
74729	we'll take it now let's talk about the 0
77130	software updates because there have been 0
78299	a ton tweaks to camera processing for 0
81390	better pictures what they're calling 0
83189	fresh and lively features to make Gebo a 0
85530	little more topical like a snow globe 0
87240	during the holidays geebo can now play 0
89460	music through iHeartRadio so at this 0
91710	time there's not a ton you can do in 0
93210	terms of voice controls and he still 0
95100	doesn't support services like Spotify 0
96360	but they are expecting to add more 0
98549	services and the ability to do things 0
100380	like TiVo play the next song in the near 0
103409	future the team has added a new 0
105119	commander mode that actually allows you 0
107159	to see through G Bo's eyes which lights 0
109890	up a purple LED revealing that G bow has 0
113009	full RGB lighting in his LED strip and 0
116159	in fact there is probably other hardware 0
119159	lying dormant under the hood and the 0
121229	GEVO team has in fact confirmed that for 0
123420	us another feature of commander mode is 0
125430	the ability to type a message and have G 0
128220	Bo say it - Texas is the best so you can 0
131129	be looking around you can go hey this 0
132599	room's pretty messy 0
133830	hey there's my son yo kid clean your 0
136020	room and giba will say it well in a in a 0
138390	nicer way geebo now uses information 0
140460	from Google in addition to the previous 0
143040	sources and can also do live sports 0
145260	tours even adding a little bit of color 0
147570	commentary to the mix like the Celtics 0
150690	are crushing the Knicks integration with 0
153030	Philips hue nest and Allrecipes is 0
156270	coming as is a find my phone function 0
159390	something that I'm sure that we can all 0
160800	relate to a big priority for the 0
162870	development team is personalized report 0
164850	so debo will see you and say something 0
167610	like hey Linus you got to get going oh 0
170460	by the way it's raining so you might 0
172320	want to grab an umbrella on your way out 0
173700	the door or if I were to give debo an 0
176220	instruction like when you see my wife 0
178230	can you ask her to pick up some 0
180330	groceries next time she's at the grocery 0
182610	store debo can pass along that 0
184650	instruction using his facial recognition 0
186750	now to be clear I still have a lot of 0
191190	doubts about Jibo and for that matter 0
193770	smart assistants in general for as long 0
196800	as they are stationary but it's clear 0
199800	that the geebo team is a taking feedback 0
201720	seriously and be continuing their 0
204330	software development work so I do look 0
206640	forward to seeing how it continues to 0
208739	change in the future and we will be able 0
210720	to do that because the winning bid for 0
212430	our sign G bow was an epic troll so we 0
214590	still have it thanks for checking out 0
217470	this video from CES 2018 this video was 1
220140	brought to you by group Rando you guys 1
222150	got to check out their symbioses demo 1
224700	car we've got a video linked in the 1
226350	description but they did a full demo 1
228690	allowing me to take it out on real 1
231840	French roads with real drivers around at 1
234390	a level for autonomous operating level 1
238380	so that means that I was sitting in that 1
240420	thing going okay I'm leaned way back 1
243090	there's a big screen here I cannot even 1
246180	see over the dashboard and this car is 1
248670	straight up driving itself telegraphing 1
250890	its moves around other vehicles as we 1
252630	change lanes and even being able to 1
255090	operate autonomously with the driver 1
257790	wearing a VR headset I was a driver I 1
260728	was wearing a VR headset and they had 1
262650	the sensors of the car actually dialed 1
265050	into the VR headset 1
266450	and the programming for it so that you 1
268730	could be driving in this like 1
270410	fantastical environment like I had like 1
272300	a flock of birds go by and I kind of 1
274130	went like this and it was an actual car 1
276370	totally crazy go check it out to see 1
279170	what group renault is doing in the space 1
281420	of autonomous car innovation so thanks 1
284990	for watching guys if you dislike this 0
286130	video you can hit that button but if you 0
287660	liked it hit like get subscribed and 0
289490	maybe consider checking out where to buy 0
291050	the stuff we featured because this is 0
292610	one of the few things we've covered at 0
294050	the show that you can actually buy today 0
296720	but whether or not you should is still 0
299750	up to you Haji Bo how'd I do 0
303820	sorry ouch 0
